Asset ID,Asset Serial Number,Make,Model,Last Known Asset Status,Last Known Service Meter Value,Last Known Service Meter Unit,Last Known Service Meter Last Reported Time,Last Known Location,Last Known Location Last Reported Time,Product Family,Next Service,Fuel Level %,Fuel Level Last Reported Time,DEF Level,DEF Level Last Reported Time,Ownership Status,Model Year
010-001,MCW15897,CAT,C15,,2810.9105820600003,h,2024-03-11T03:02:46-06:00,"Itaituba, Brazil 68180",2024-03-11T03:02:46-06:00,3406/C15 Engine,,,,,,Owned,
020-001,6P300101,CAT,6030,,5499.042177008,h,2024-03-10T20:53:51-06:00,"Itaituba, Brazil 68180",2024-01-13T18:57:29-06:00,Hydraulic Mining Shovel,,,,,,Owned,2021
020-002,6P300111,CAT,6030,,2537.929530342,h,2024-03-10T20:35:52-06:00,"Itaituba, Brazil 68180",2024-03-10T20:35:52-06:00,Hydraulic Mining Shovel,,,,,,Owned,2023
021-001,R2E00174,CAT,303.5 CR,,,,,,,Mini Hydraulic Excavator,,,,,,Owned,
021-002,L9T01216,CAT,420,,,,,,,Backhoe Loader - Center Pivot,,,,,,Owned,2023
021-004,MZA10132,CAT,395,,6639.25808918,h,2024-03-10T20:26:42-06:00,"Itaituba, Brazil 68180",2024-03-10T20:26:42-06:00,Large Hydraulic Excavator,,100.0,2024-03-10T20:26:42-06:00,,,Owned,2022
021-005,MZA10131,CAT,395,,3656.356536194,h,2024-03-08T12:35:57-06:00,"Itaituba, Brazil 68180",2024-03-08T12:35:57-06:00,Large Hydraulic Excavator,PM 1 PERFORM (250 HOURS INTERVAL),90.0,2024-03-08T12:08:30-06:00,,,Owned,2022
021-006,HLW00800,CAT,352,,3528.4592116540002,h,2024-03-10T20:43:58-06:00,"Itaituba, Brazil 68180",2024-03-10T20:43:58-06:00,Large Hydraulic Excavator,,70.0,2024-03-10T20:43:49-06:00,,,Owned,2022
021-007,HLW00825,CAT,352,,5803.940198704,h,2024-03-10T20:39:48-06:00,"Itaituba, Brazil 68180",2024-03-10T20:39:48-06:00,Large Hydraulic Excavator,,40.0,2024-03-10T20:39:48-06:00,,,Owned,2022
021-008,RDE11058,CAT,313D,,939.712418436,h,2023-04-07T20:29:54-06:00,"Itaituba, Brazil 68180",2023-04-07T20:29:54-06:00,Small Hydraulic Excavator,,,,,,Owned,2022
