Name,Asset Serial Number,Make,Model,Odometer,Odometer unit of measure,Odometer Last Reported Time,Sample Meter,Hour meter unit of measure,Sample Date,Fluid Sample,Lab report number,Lifetime Energy Generated Value,Service Meter Unit,Lifetime Energy Generated Timestamp,Lifetime Fuel Consumed Value,Service Meter Unit,Lifetime Fuel Consumed Timestamp,Severity,Recommendation,Odometer Value,Service Meter Unit,Odometer Timestamp,Hours Value,Service Meter Unit,Analysis Date,Last Known Location,Last Known Location Last Reported Time
021-001,R2E00174,CAT,303.5 CR,,,,,,2024-02-18T00:00Z,COMANDO F TRAS DIR,U330-54059-2731,,,,,,,Action Required,Os teores de Ferro e Cromo podem indicar desgastes em engrenagens e rolamentos. Verificar imediatamente presença de limalhas e ruídos anormais. Avaliar o modo de operação e aplicação do equipamento.  Trocar o óleo e coletar nova amostra regularmente.  Verificar horas do óleo e componente. Estão discrepantes.  Para uma avaliação mais assertiva solicitamos que informe o nome comercial do fluido em uso.,,,,0.0,h,2024-03-04T07:10:23-06:00,,
040-001,KYD02701,CAT,777E,120601.7731158,mi,2024-01-30T07:07:26-06:00,5578.31279598,h,2024-02-18T00:00Z,COMANDO F TRAS DIR,U330-54059-2770,,,,88721.3155925772,usGal,2024-01-30T07:07:26-06:00,Action Required,Verificar procedimento de coleta e identificação das amostras. Os resultados apresentados de aditivos não assemelham as características do compartimento e/ou lubrificante anteriormente aplicado.  Verificar se a amostra pertence ao compartimento/equipamento informado.  Enviar nova amostra imediatamente.,,,,0.0,h,2024-03-05T05:24:07-06:00,"Itaituba, Brazil 68180",2024-01-30T07:07:26-06:00
040-001,KYD02701,CAT,777E,120601.7731158,mi,2024-01-30T07:07:26-06:00,5578.31279598,h,2024-02-18T00:00Z,SISTEMA HIDRÁULICO,U330-54059-2768,,,,88721.3155925772,usGal,2024-01-30T07:07:26-06:00,Monitor Compartment,"O resultado da contagem de partículas acima de -/18/15 é considerado alto para sistemas hidráulicos. Níveis elevados de contaminação por partículas podem gerar desgaste abrasivo, danificar componentes e causar obstrução prematura de filtros.  Verificar na inspeção diária danos nas vedações e ruidos anormais. Na próxima revisão aplicar filtro de alta eficiência (UHE), se disponível e rodar por 250 horas ou efetuar diálise no óleo.  Nova amostra em intervalo regular.  Para uma avaliação mais assertiva solicitamos que informe o nome comercial do fluido em uso.  Verificar horas do óleo e componente. Estão discrepantes.",,,,0.0,h,2024-03-04T06:53:29-06:00,"Itaituba, Brazil 68180",2024-01-30T07:07:26-06:00
031-001,J8R00413,CAT,966,13788.2846271,mi,2024-03-09T20:36:45-06:00,4833.735255874,h,2024-02-18T00:00Z,SISTEMA HIDRÁULICO,U330-54059-2737,,,,25902.7326645708,usGal,2024-03-09T20:36:45-06:00,No Action Required,"Nível normal de desgaste. Óleo em condição de uso. Monitorar nos intervalos regulares.  Como boa prática, realize a inspeção de filtros e informe caso detecte a presença de contaminantes/limalhas.  Verificar horas do óleo e componente. Estão discrepantes.  Para uma avaliação mais assertiva solicitamos que informe o nome comercial do fluido em uso.",,,,0.0,h,2024-03-04T07:17:35-06:00,"Itaituba, Brazil 68180",2024-03-09T20:36:45-06:00
031-001,J8R00413,CAT,966,13788.2846271,mi,2024-03-09T20:36:45-06:00,4833.735255874,h,2024-02-18T00:00Z,MOTOR,U330-54059-2735,,,,25902.7326645708,usGal,2024-03-09T20:36:45-06:00,No Action Required,"Nível normal de desgaste. Monitorar nos intervalos regulares.  Como boa prática, realize a inspeção de filtros e informe caso detecte a presença de contaminantes/limalhas.  Verificar horas do óleo e componente. Estão discrepantes.  Para uma avaliação mais assertiva solicitamos que informe o nome comercial do fluido em uso.",,,,0.0,h,2024-03-04T07:13:46-06:00,"Itaituba, Brazil 68180",2024-03-09T20:36:45-06:00
031-001,J8R00413,CAT,966,13788.2846271,mi,2024-03-09T20:36:45-06:00,4833.735255874,h,2024-02-18T00:00Z,TRANSMISSÃO PS,U330-54059-2733,,,,25902.7326645708,usGal,2024-03-09T20:36:45-06:00,No Action Required,"Nível normal de desgaste. Óleo em condição de uso. Monitorar nos intervalos regulares.  Como boa prática, realize a inspeção de filtros e informe caso detecte a presença de contaminantes/limalhas.  Verificar horas do óleo e componente. Estão discrepantes.  Para uma avaliação mais assertiva solicitamos que informe o nome comercial do fluido em uso.",,,,0.0,h,2024-03-04T07:12:01-06:00,"Itaituba, Brazil 68180",2024-03-09T20:36:45-06:00
040-001,KYD02701,CAT,777E,120601.7731158,mi,2024-01-30T07:07:26-06:00,5578.31279598,h,2024-02-18T00:00Z,COMANDO F TRAS DIR,U330-54059-2771,,,,88721.3155925772,usGal,2024-01-30T07:07:26-06:00,Monitor Compartment,O teor de Ferro pode indicar desgaste em engrenagens. Verificar na inspeção diária ruídos anormais. Na próxima revisão verificar presença de limalhas. Avaliar o modo de operação e aplicação do equipamento.  Trocar o óleo e coletar nova amostra regularmente.  Para uma avaliação mais assertiva solicitamos que informe o nome comercial do fluido em uso.  Verificar horas do óleo e componente. Estão discrepantes.,,,,0.0,h,2024-03-04T06:57:05-06:00,"Itaituba, Brazil 68180",2024-01-30T07:07:26-06:00
040-001,KYD02701,CAT,777E,120601.7731158,mi,2024-01-30T07:07:26-06:00,5578.31279598,h,2024-02-18T00:00Z,DIFERENCIAL TRASEIRO,U330-54059-2769,,,,88721.3155925772,usGal,2024-01-30T07:07:26-06:00,Monitor Compartment,O teor de Ferro pode indicar desgaste em engrenagens. Verificar na inspeção diária ruídos anormais. Na próxima revisão verificar presença de limalhas. Avaliar o modo de operação e aplicação do equipamento.  Trocar o óleo e coletar nova amostra regularmente.  Para uma avaliação mais assertiva solicitamos que informe o nome comercial do fluido em uso.  Verificar horas do óleo e componente. Estão discrepantes.,,,,0.0,h,2024-03-04T06:54-06:00,"Itaituba, Brazil 68180",2024-01-30T07:07:26-06:00
021-001,R2E00174,CAT,303.5 CR,,,,,,2024-02-18T00:00Z,MOTOR,U330-54059-2730,,,,,,,Monitor Compartment,"O teor de Ferro pode indicar desgaste nas camisas, pistões, eixos comandos, engrenagens e válvulas. O alto teor de oxidação significa esgotamento dos aditivos antioxidantes, causando degradação do óleo base. Verificar na inspeção diária nível de óleo, eventos de alta temperatura, ruídos e vibrações anormais. Na próxima revisão verificar limalhas no filtro, pressão de lubrificação, operação com baixo nível de óleo (vazamentos) extensão de troca e histórico de complemento de óleo.  Coletar nova amostra regularmente.  Informe o nome comercial do fluido em uso.  Verificar horas do óleo e componente. Estão discrepantes.",,,,0.0,h,2024-03-05T05:22:09-06:00,,
021-001,R2E00174,CAT,303.5 CR,,,,,,2024-02-18T00:00Z,COMANDO F TRAS ESQ,U330-54059-2729,,,,,,,Monitor Compartment,O teor de Ferro associado aos traços de limalhas ferrosas pode indicar desgaste em engrenagens. Verificar na inspeção diária ruídos anormais. Na próxima revisão verificar presença de limalhas. Avaliar o modo de operação e aplicação do equipamento.  Trocar o óleo e coletar nova amostra regularmente.  Informar as horas do óleo pois esta informação interfere na avaliação.  Para uma avaliação mais assertiva solicitamos que informe o nome comercial do fluido em uso.,,,,0.0,h,2024-03-04T07:08:51-06:00,,
